model,year,venue_or_source,task_type,paradigm,key_modules,reported_highlight,pros,cons,wetland_fit,recommended_role,code_url,paper_url
SNUNet-CD,2021,IEEE GRSL,BCD,CNN Siamese,"Dense skip connections; Siam-NestedUNet","Paper/repo report clear gains on precision, recall, F1 and OA over prior baselines","Stable; easy to reproduce; decent edge retention","Weak long-range context; no semantic prior","Medium","Traditional CNN baseline","https://github.com/likyoo/Siam-NestedUNet","https://github.com/likyoo/Siam-NestedUNet"
BIT,2021,IEEE TGRS,BCD,Transformer,"Semantic tokens; transformer encoder-decoder; feature differencing","Abstract states it outperforms pure CNN baseline with lower computation and fewer parameters","Classic transformer baseline; efficient token design","Local details still need help; no semantic prior","Medium","Classic transformer baseline","https://github.com/justchenhao/BIT_CD","https://arxiv.org/abs/2103.00208"
ChangeFormer,2022,IGARSS,BCD,Transformer,"Hierarchical transformer encoder; MLP decoder; Siamese design","Paper states better performance than previous counterparts on two datasets","Strong multi-scale global modeling; widely used","Heavier than CNN; not optimized for semantic pseudo-change suppression","Medium-High","Strong baseline for comparison","https://github.com/wgcban/ChangeFormer","https://arxiv.org/abs/2201.01293"
SARAS-Net,2023,AAAI,BCD,CNN+Attention,"Relation-aware; scale-aware; cross-transformer interaction","AAAI page states SOTA accuracy on LEVIR-CD, WHU-CD and DSIFN","Good at scale and bi-temporal interaction","Still visual-only; semantic false alarms remain possible","High","Boundary/scale reference model","https://github.com/f64051041/SARAS-Net","https://ojs.aaai.org/index.php/AAAI/article/view/26660"
RCDT,2022,arXiv / GIScience & Remote Sensing,BCD,Relational Transformer,"Relational cross-attention; feature constraint module; Siamese backbone","Abstract reports superior performance over competing methods on four public datasets","Simple but strong cross-attention design; good efficiency-accuracy ratio","Not as recent as 2024-2025 models; no external semantic prior","High","Lightweight strong transformer baseline","https://arxiv.org/abs/2212.04869","https://arxiv.org/abs/2212.04869"
VcT,2023,IEEE TGRS,BCD,Visual Transformer,"Visual change transformer; multi-level transformer-based interaction","Repo positions it as strong transformer-based RSCD model","Mature transformer baseline with public code","Less targeted at semantic pseudo-change suppression","Medium-High","Additional transformer comparison","https://github.com/Event-AHU/VcT_Remote_Sensing_Change_Detection","https://github.com/Event-AHU/VcT_Remote_Sensing_Change_Detection"
MaskCD,2024,IEEE TGRS,BCD,Mask Classification,"CLCRP; deformable attention; MCA-DETR decoder","Introduces mask-classification paradigm to RSCD and targets better object delineation","Object-level masks; better boundaries; good for fragmented regions","More complex training/inference than plain pixel decoder","High","Decoder-head inspiration","https://github.com/AI4RS/MaskCD","https://github.com/AI4RS/MaskCD"
ChangeViT,2024,arXiv / Pattern Recognition update,BCD,Plain ViT,"Plain ViT backbone; detail-capture; feature injector","Repo reports strong gains by exploiting ViT advantage on large-scale changes","Strong non-Mamba main-model candidate; good large-scale change modeling","Still needs extra detail-enhancement to preserve small objects","Very High","Top non-Mamba backbone candidate","https://github.com/zhuduowang/ChangeViT","https://arxiv.org/abs/2406.12847"
STeInFormer,2024,arXiv / JSTARS 2025 trend,BCD,Spatial-Temporal Interaction Transformer,"Spatial-temporal interaction backbone; multi-frequency token mixer","Abstract states it outperforms SOTA and has strong efficiency-accuracy trade-off","Purpose-built transformer backbone for RSCD; very relevant to bi-temporal interaction","Newer method; reproduction ecosystem smaller than BIT/ChangeFormer","Very High","Top non-Mamba backbone candidate","https://github.com/xwmaxwma/rschange","https://arxiv.org/abs/2412.17247"
RS-Mamba,2024,arXiv/TGRS dense prediction,BCD+Segmentation,Visual Mamba,"Multi-direction selective scan; linear complexity SSM","Repo states SOTA on remote sensing dense prediction with simple architecture","Key reference for scan strategy and efficient long-context modeling","Not specialized for bi-temporal change interaction","High","Backbone/scanning design reference","https://github.com/NJU-LHRS/Official_Remote_Sensing_Mamba","https://arxiv.org/abs/2404.02668"
ChangeMamba,2024,IEEE TGRS,BCD+SCD+BDA,Spatiotemporal Mamba,"Visual Mamba encoder; three spatio-temporal relationship modeling mechanisms","Abstract states it outperforms CNN- and Transformer-based approaches on five benchmarks","Best-known Mamba CD baseline; strong efficiency-accuracy trade-off","Lacks explicit semantic prior for wetland pseudo-change suppression","Very High","Primary backbone baseline","https://github.com/ChenHongruixuan/ChangeMamba","https://arxiv.org/abs/2404.03425"
ChangeCLIP,2024,ISPRS JPRS,BCD,Vision-Language,"Prompt taxonomy over 56 land-cover classes; differential features compensation; transformer multimodal decoder","Paper presents first CLIP-based RSCD framework and reports improved change perception via multimodal cues","Strong semantic prior; good for false-alarm suppression and generalization","Heavier training cost; prompt taxonomy adaptation needed","Very High","Semantic branch / prompt-learning reference","https://github.com/dyzy41/ChangeCLIP","https://www.sciencedirect.com/science/article/pii/S0924271624000042"
ClearSCD,2024,ISPRS JPRS,SCD,Semantic Change Modeling,"Semantics-change relationship coupling; dedicated SCD modeling","Paper emphasizes comprehensive leverage of semantics and change relationships","Strong reference for semantic branch design and transition reasoning","More aligned with semantic change detection than binary CD","High","Semantic transition modeling reference","https://github.com/tangkai-RS/ClearSCD","https://www.sciencedirect.com/science/article/pii/S0924271624001734"
HGINet,2024,ISPRS JPRS,SCD,Graph-based Semantic Change Detection,"Hierarchical semantic graph interaction","ScienceDirect summary highlights semantic interaction for high-resolution SCD","Useful if later extending from binary wetland change to semantic transition classes","Graph-based design is more specialized and heavier to adapt","Medium-High","Semantic-graph reference","https://www.sciencedirect.com/science/article/pii/S0924271624001709","https://www.sciencedirect.com/science/article/pii/S0924271624001709"
LSC-CD,2024,Sensors,BCD/SCD,Language-guided Vision-Language,"CLIP semantic transfer; language-guided semantic clustering","Article proposes language-guided clustering to transfer rich semantics into RSCD","Lightweight semantic enhancement idea; useful for false-alarm suppression","Less established than ChangeCLIP in RSCD community","High","Lightweight semantic module reference","https://www.mdpi.com/1424-8220/24/24/7887","https://www.mdpi.com/1424-8220/24/24/7887"
FFPNet,2024,Remote Sensing,SCD,Fine-grained Semantic Change Detection,"Fine-grained feature perception; change-type reasoning","Article reports strong accuracy/generalization on LandsatSCD and SECOND","Useful if thesis later adds semantic transition experiments","Not a direct binary wetland CD main-model candidate","Medium","Semantic extension reference","https://www.mdpi.com/2072-4292/16/21/4020","https://www.mdpi.com/2072-4292/16/21/4020"
M-CD,2025,WACV,BCD,Siamese Mamba,"Mamba-based Siamese detector for four CD benchmarks","WACV abstract states significant improvements over existing SOTA on four datasets","Strong recent Mamba implementation; good candidate main model","General-purpose RSCD; not designed for wetland pseudo-change specifically","High","Alternative main backbone candidate","https://github.com/JayParanjape/M-CD","https://openaccess.thecvf.com/content/WACV2025/html/Paranjape_A_Mamba-Based_Siamese_Network_for_Remote_Sensing_Change_Detection_WACV_2025_paper.html"
CDMamba,2025,IEEE TGRS,BCD,Local+Global Mamba,"Scaled residual ConvMamba block; adaptive global-local guided fusion","Summary reports F1/IoU gains of 2.10/3.00 on LEVIR-CD and 2.44/2.91 on CLCD","Directly strengthens local detail modeling; good for fine boundaries","Still visual-only; added complexity over plain ChangeMamba","Very High","High-priority stronger Mamba baseline","https://github.com/zmoka-zht/CDMamba","https://arxiv.org/abs/2406.04207"
CD-Lamba,2025,arXiv,JSTARS prepublication trend,BCD,Locally Adaptive Mamba,"LASS; CTSS; window shifting and perception","Abstract states SOTA on four benchmarks with good efficiency-accuracy trade-off","Better locality plus cross-temporal interaction; highly relevant to wetland patch continuity","Reproduction ecosystem less mature than ChangeMamba","Very High","Top candidate for final backbone","https://github.com/xwmaxwma/rschange","https://arxiv.org/abs/2501.15455"
TextSCD,2025,ISPRS Geospatial Week / ISPRS Annals,SCD,Text-guided Vision-Language,"Gemini-generated change descriptions; semantic text-guided interaction","Abstract reports notable OA improvement on SECOND","Good inspiration for text semantic guidance and false-alarm reduction","Built for semantic change detection; not directly drop-in for binary wetland CD","High","Semantic module inspiration","https://isprs-annals.copernicus.org/articles/X-G-2025/383/2025/index.html","https://eprints.gla.ac.uk/359969/"
Semantic-CD,2025,arXiv,SCD,Open-vocabulary Vision-Language,"Bi-temporal CLIP visual encoder; open semantic prompter; decoupled BCD/SCD decoders","Abstract states more accurate masks and fewer semantic classification errors on SECOND","Open-vocabulary generalization; useful for semantic wetland transitions","More complex task setup and label requirements","High","Open-vocabulary extension candidate","https://arxiv.org/abs/2501.06808","https://arxiv.org/abs/2501.06808"
RoCD,2025,Frontiers in Remote Sensing,BCD,Foundation Vision Model Adaptation,"Frozen foundation vision model; refine-and-fuse decoder; FastSAM-based features","Article emphasizes robust change detection from foundation visual priors","Good route for strong generalization without full fine-tuning","Foundation-model adaptation may be heavier to engineer than standard RSCD baselines","High","Foundation-model adaptation candidate","https://www.frontiersin.org/journals/remote-sensing/articles/10.3389/frsen.2025.1744950/full","https://www.frontiersin.org/journals/remote-sensing/articles/10.3389/frsen.2025.1744950/full"
AdaptVFMs-RSCD,2025,ISPRS JPRS,SCD,Foundation VLM Adaptation,"SAM + CLIP; binary-to-semantic RSCD adaptation","Abstract highlights advancing RSCD from binary to semantic with adapted vision foundation models","Very forward-looking for semantic wetland transitions and open-vocabulary expansion","Complex pipeline; not ideal as first main-model route","High","Late-stage semantic expansion candidate","https://github.com/Dmygithub/AdaptOVCD","https://www.sciencedirect.com/science/article/abs/pii/S0924271625003636"
FMT,2025,ResearchSquare / Journal submission trend,BCD,Foundation Model-based Transformer,"Foundation model features + transformer decoder","Preprint presents FM-adapted transformer for RSCD","Interesting if you want a non-Mamba foundation-model baseline","Evidence and ecosystem less mature than BAN/RoCD","Medium-High","Exploratory foundation-model baseline","https://sciety.org/articles/activity/10.21203/rs.3.rs-7112910/v1","https://sciety.org/articles/activity/10.21203/rs.3.rs-7112910/v1"
BAN,2023,arXiv,BCD,Foundation Model Adaptation,"Bi-Temporal Adapter Network; universal FM adaptation","Abstract presents a universal foundation-model-based CD adaptation framework","Strong practical route for transferring FM knowledge into CD","Less task-specific than latest dedicated RSCD architectures","High","Foundation-model baseline with lower risk","https://github.com/likyoo/BAN","https://arxiv.org/abs/2312.01163"
Changen2,2024,arXiv,Change Foundation Model,Generative Foundation Model,"Diffusion transformer; change event simulation; semantic change synthesis","Abstract reports superior zero-shot performance and transferability across change tasks","Excellent for data synthesis, zero-shot and pretraining inspiration","Not a simple drop-in supervised main model for your current pipeline","Medium-High","Pretraining/data-generation reference","https://github.com/Z-Zheng/Changen","https://arxiv.org/abs/2406.17998"
RemoteCLIP,2023,arXiv / TGRS VLM,Foundation VLM,Vision-Language Foundation Model,"Remote sensing CLIP pretraining on image-text data","Paper reports improvements of remote-sensing VLM performance across downstream tasks","Better remote-sensing text-image alignment than generic CLIP","Not a direct change detector; needs adaptation","Very High","Better text encoder / prompt source","https://github.com/ChenDelong1999/RemoteCLIP","https://arxiv.org/abs/2306.11029"
GeoRSCLIP,2023,arXiv / RS5M,Foundation VLM,Vision-Language Foundation Model,"RS5M dataset + GeoRSCLIP model","Paper reports 3%-20% gains in zero-shot classification, 3%-6% in retrieval and 4%-5% in semantic localization","Strong remote-sensing semantics; useful if prompt route is retained","Not directly optimized for change detection","High","Alternative remote-sensing VLM backbone","https://github.com/om-ai-lab/RS5M","https://arxiv.org/abs/2306.11300"
